Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE,Ice Edge,FWD,26220,0.0,26220.0,At dealer,False,Available,4T1C11AK0PU143447,Jim Robinson Toyota,WV
2023,LE,Midnight Black Metallic,FWD,26220,0.0,26220.0,At dealer,False,Available,4T1C11AK0PU153198,Cloninger Toyota,NC
2023,LE,Reservoir Blue,FWD,26220,0.0,26220.0,At dealer,False,DealerHold,4T1C11AK0PU155419,Olathe Toyota,KS
2023,LE,Ice Cap,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU158708,Valdosta Toyota,GA
2023,LE,Ice Edge,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU160541,Cobb County Toyota,GA
2023,LE,Ice Edge,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU160586,Springhill Toyota,AL
2023,LE,Ice Cap,FWD,26320,699.0,27019.0,Port to dealer,True,Available,4T1C11AK0PU161138,Landers Toyota,AR
2023,LE,Ice Cap,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU161267,Prince Toyota,GA
2023,LE,Ice Cap,FWD,26320,0.0,26320.0,Factory to port,False,Available,4T1C11AK0PU161284,Don McGill Toyota,TX
2023,LE,Ice Cap,FWD,26320,999.0,27319.0,Port to dealer,False,Available,4T1C11AK0PU161298,Toyota of Hattiesburg,MS
2023,LE,Celestial Silver Metallic,FWD,26320,988.0,27308.0,Factory to port,False,Available,4T1C11AK0PU161317,Longo Toyota of Prosper,TX
2023,LE,Ice Edge,FWD,26320,4085.0,30405.0,Port to dealer,False,Available,4T1C11AK0PU161561,Fred Haas Toyota World,TX
2023,LE,Supersonic Red,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU161768,Scott Will Toyota of Sumter,SC
2023,LE,Celestial Silver Metallic,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU161785,Fred Anderson Toyota,NC
2023,LE,Supersonic Red,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU162581,AutoNation Toyota Mall of Georgia,GA
2023,LE,Midnight Black Metallic,FWD,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU162693,Valdosta Toyota,GA
2023,LE,Ice Cap,FWD,26320,0.0,26320.0,Port to dealer,False,Available,4T1C11AK0PU162824,Universal Toyota,TX
2023,LE,Celestial Silver Metallic,FWD,26320,1495.0,27815.0,Port to dealer,False,Available,4T1C11AK0PU162841,Bohn Toyota,LA
