Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2022, L,Blueprint,FWD,35855,2098.0,37953.0,Factory to port,False,Available,5TDCZRAH3NS554617,Toyota of Surprise,AZ
2022,Platinum,Wind Chill Pearl,AWD,49960,0.0,49960.0,At dealer,False,Available,5TDFZRBH0NS251175,Key West Toyota,FL
2022,Platinum,Moon Dust,AWD,49960,0.0,49960.0,Factory to port,False,DealerHold,5TDFZRBH8NS236438,Right Toyota,AZ
2022,XLE,Blueprint,FWD,41055,0.0,41055.0,Factory to port,False,DealerHold,5TDHZRAH8NS126273,Centennial Toyota,NV
2022,XLE,Magnetic Gray Metallic,AWD,42655,0.0,42655.0,At dealer,False,Available,5TDHZRBH5NS592418,Al Hendrickson Toyota,FL
2023,XLE,Moon Dust,FWD,41820,0.0,41820.0,Port to dealer,False,,5TDKDRAH0PS022335,Elk Grove Toyota,CA
2023,XLE,Moon Dust,FWD,41820,0.0,41820.0,At dealer,True,Available,5TDKDRAH0PS029172,Fred Haas Toyota Country,TX
2023,LE,Wind Chill Pearl,FWD,38820,0.0,38820.0,At dealer,False,Available,5TDKDRAH0PS029365,Toyota Place,CA
2023,XSE,Ruby Flare Pearl,FWD,43615,1495.0,45110.0,At dealer,False,Available,5TDKDRAH0PS029396,Sterling McCall Toyota,TX
2023,XSE,Midnight Black Metallic,FWD,43615,0.0,43615.0,At dealer,False,Available,5TDKDRAH0PS029625,Toyota of Ardmore,OK
2023,Platinum,Wind Chill Pearl,FWD,49475,0.0,49475.0,At dealer,False,Available,5TDKDRAH0PS029799,Toyota of North Charlotte,NC
2023,XLE,Magnetic Gray Metallic,FWD,42020,0.0,42020.0,Factory to port,False,,5TDKDRAH0PS030077,Mike Johnson's Hickory Toyota,NC
2023, L,Wind Chill Pearl,FWD,36420,0.0,36420.0,At dealer,False,Available,5TDKDRAH0PS030094,Toyota of Greer,SC
2023,LE,Magnetic Gray Metallic,FWD,39020,0.0,39020.0,At dealer,False,Available,5TDKDRAH0PS030161,Earl Stewart Toyota of North Palm Beach,FL
2023,Limited,Wind Chill Pearl,FWD,46075,0.0,46075.0,Factory to port,True,,5TDKDRAH0PS030239,Toyota of Greensboro,NC
2023,XLE,Midnight Black Metallic,FWD,42020,0.0,42020.0,Factory to port,False,Available,5TDKDRAH0PS030368,Prince Toyota,GA
2023,Platinum,Ruby Flare Pearl,FWD,49475,8493.0,57968.0,At dealer,True,DealerHold,5TDKDRAH0PS030385,Keating Toyota,TX
2023,Platinum,Blueprint,FWD,49475,0.0,49475.0,Factory to port,True,DealerHold,5TDKDRAH0PS030404,Toyota of Mt. Pleasant,TX
2023,XLE,Wind Chill Pearl,FWD,42020,0.0,42020.0,At dealer,False,Available,5TDKDRAH0PS030418,AutoNation Toyota Weston,FL
2023,XSE,Magnetic Gray Metallic,FWD,43415,0.0,43415.0,Port to dealer,False,,5TDKDRAH0PS030497,Toyota of Escondido,CA
2023,Limited,Blueprint,FWD,46075,0.0,46075.0,At dealer,False,Available,5TDKDRAH0PS030578,Lewis Toyota of Dodge City,KS
